City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Wewak,PG,78.73,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
3,Faanui,PF,79.05,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Humaita,BR,81.48,broken clouds,-7.5061,-63.0208,Corrêa Hotel
14,Atuona,PF,77.14,light rain,-9.8,-139.0333,Villa Enata
19,Hobyo,SO,77.31,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
34,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
38,Duluth,US,82.45,few clouds,46.7833,-92.1066,South Pier Inn
48,Kushima,JP,79.43,overcast clouds,31.4583,131.2333,Hanaoka
49,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
52,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
54,Najran,SA,75.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
56,Ntoum,GA,75.29,light rain,0.3833,9.7833,Hôtel Santa Barbara
62,Salalah,OM,78.89,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
64,Presidente Epitacio,BR,78.31,broken clouds,-21.7633,-52.1156,Hotel Itaverá
72,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
75,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
79,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
82,Dwarka,IN,81.36,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
86,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
100,Portland,US,79.56,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
102,Sakakah,SA,82.26,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
105,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
107,Dingle,PH,75.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
109,Pumiao,CN,76.12,light rain,22.75,108.4833,Mushang Boutique Hotel
110,Hamilton,US,80.94,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
111,Aloleng,PH,80.42,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
114,Riyadh,SA,78.94,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
120,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
125,Sakai,JP,75.18,light rain,34.5833,135.4667,Osaka Joytel Hotel
126,Waingapu,ID,79.25,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
128,Vanimo,PG,79.2,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
131,Parrita,CR,83.07,overcast clouds,9.5201,-84.3225,Beso del Viento
134,Lompoc,US,77.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
146,Ingham,US,76.48,scattered clouds,42.6,-84.3833,Sunset Mobile Home Park
147,Labuhan,ID,77.67,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
158,Pauini,BR,82.78,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
161,Tagusao,PH,79.86,overcast clouds,9.1924,117.8141,Toledo
165,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
166,Mangrol,IN,80.04,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
168,Bonthe,SL,76.14,light rain,7.5264,-12.505,Bonthe Holiday Village
172,Manggar,ID,80.8,broken clouds,-2.8833,108.2667,Guest Hotel
176,Hithadhoo,MV,83.3,light rain,-0.6,73.0833,Scoop Guest House
177,Mongo,TD,81.64,broken clouds,12.1844,18.692999999999998,Résidences du Programme FIDA
179,Kirakira,SB,83.53,scattered clouds,-10.4544,161.9205,SanBiz Lodge
180,Constantine,DZ,80.49,overcast clouds,36.365,6.6147,Grand Hotel Cirta
181,Guerrero Negro,MX,75.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
190,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
201,Areia Branca,BR,81.5,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
202,Acajutla,SV,82.24,light rain,13.5928,-89.8275,asi es
203,Kapoeta,SS,78.22,broken clouds,4.7717,33.5903,Eastgate Hotel
206,Tual,ID,80.47,broken clouds,-5.6667,132.75,Grand Vilia Hotel
212,Nautla,MX,83.88,overcast clouds,20.2167,-96.7833,Casa Blanca
213,Houston,US,83.34,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
214,Lake City,US,83.95,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
219,Marsh Harbour,BS,84.22,broken clouds,26.5412,-77.0636,Abaco Beach Resort
224,Namatanai,PG,82.76,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
226,Rosita,NI,83.16,broken clouds,13.9268,-84.4032,Hospedaje Zeledón
227,Madras,IN,84.18,mist,13.0878,80.2785,City home
236,Baracoa,CU,80.92,broken clouds,20.3467,-74.4958,Hostal Rio Miel
239,Sao Felix Do Xingu,BR,83.57,moderate rain,-6.6447,-51.995,Rio Xingu Camping
