City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Novyy Urengoy,RU,66.0833,76.6333,37.78,94,92,14.47,overcast clouds
1,Ribeira Grande,PT,38.5167,-28.7,72.3,84,95,4.72,overcast clouds
2,Wewak,PG,-3.5534,143.6268,78.73,84,73,5.01,broken clouds
3,Faanui,PF,-16.4833,-151.75,79.05,70,4,21.56,clear sky
4,Dunedin,NZ,-45.8742,170.5036,48.79,61,95,4.0,overcast clouds
5,Verkhoshizhemye,RU,58.011,49.1038,39.6,94,100,7.49,overcast clouds
6,Lebu,CL,-37.6167,-73.65,50.13,90,0,8.25,clear sky
7,Luderitz,NA,-26.6481,15.1594,61.7,41,15,15.77,few clouds
8,Cidreira,BR,-30.1811,-50.2056,59.99,66,98,14.85,overcast clouds
9,Norman Wells,CA,65.282,-126.8329,55.33,55,7,10.29,clear sky
10,Kodiak,US,57.79,-152.4072,53.11,87,90,6.91,mist
11,La Ronge,CA,55.1001,-105.2842,40.6,90,100,18.57,overcast clouds
12,Humaita,BR,-7.5061,-63.0208,81.48,54,63,3.6,broken clouds
13,Sembe,CG,1.6481,14.5806,70.27,99,100,3.65,light rain
14,Atuona,PF,-9.8,-139.0333,77.14,80,15,15.86,light rain
15,Sibu,MY,2.3,111.8167,73.18,92,93,1.14,overcast clouds
16,New Norfolk,AU,-42.7826,147.0587,52.92,66,32,1.01,scattered clouds
17,Saskylakh,RU,71.9167,114.0833,33.69,97,100,18.68,light rain
18,Kaspiyskiy,RU,45.3929,47.3707,65.55,36,100,15.77,overcast clouds
19,Hobyo,SO,5.3505,48.5268,77.31,88,44,23.53,scattered clouds
20,Namibe,AO,-15.1961,12.1522,61.36,90,21,6.22,few clouds
21,Gasa,PS,31.5,34.4667,73.38,62,0,4.72,clear sky
22,Hobart,AU,-42.8794,147.3294,53.26,77,20,1.99,few clouds
23,Maarianhamina,AX,60.0973,19.9348,48.06,76,90,8.05,overcast clouds
24,Cap Malheureux,MU,-19.9842,57.6142,70.47,88,11,1.99,light rain
25,Qaqortoq,GL,60.7167,-46.0333,37.9,70,100,3.02,overcast clouds
26,Fortuna,US,40.5982,-124.1573,85.19,63,1,1.99,clear sky
27,Lucapa,AO,-8.4192,20.7447,68.11,83,90,3.69,overcast clouds
28,East London,ZA,-33.0153,27.9116,57.81,64,76,16.51,broken clouds
29,Castro,BR,-24.7911,-50.0119,54.7,96,100,8.46,overcast clouds
30,Tiksi,RU,71.6872,128.8694,39.52,93,100,8.08,overcast clouds
31,Vanavara,RU,60.34,102.2797,30.0,96,23,3.0,few clouds
32,Rikitea,PF,-23.1203,-134.9692,73.9,73,53,14.92,light rain
33,Cape Town,ZA,-33.9258,18.4232,56.88,73,0,5.01,clear sky
34,Vaini,TO,-21.2,-175.2,80.76,89,20,8.05,few clouds
35,Constitucion,CL,-35.3333,-72.4167,52.43,85,0,14.58,clear sky
36,Tuktoyaktuk,CA,69.4541,-133.0374,49.75,68,51,10.29,broken clouds
37,Anadyr,RU,64.75,177.4833,39.7,75,75,22.37,broken clouds
38,Duluth,US,46.7833,-92.1066,82.45,53,20,15.99,few clouds
39,Yellowknife,CA,62.456,-114.3525,46.85,43,76,5.59,broken clouds
40,Ushuaia,AR,-54.8,-68.3,37.06,60,75,0.0,broken clouds
41,Mataura,NZ,-46.1927,168.8643,44.47,55,23,6.24,few clouds
42,Huari,PE,-9.3333,-77.2333,48.7,62,90,7.09,overcast clouds
43,Klaksvik,FO,62.2266,-6.589,54.52,96,100,31.12,overcast clouds
44,Barrow,US,71.2906,-156.7887,33.82,93,90,11.5,moderate rain
45,Moche,PE,-8.1711,-79.0092,59.18,88,90,11.5,mist
46,Punta Arenas,CL,-53.15,-70.9167,37.51,93,90,12.66,light intensity drizzle
47,Port Alfred,ZA,-33.5906,26.891,54.82,74,34,15.19,scattered clouds
48,Kushima,JP,31.4583,131.2333,79.43,91,96,5.82,overcast clouds
49,Butaritari,KI,3.0707,172.7902,82.36,76,34,14.14,light rain
50,Gazanjyk,TM,39.2446,55.5154,73.92,49,0,7.94,clear sky
51,Pimentel,PE,-6.8367,-79.9342,63.25,83,65,15.88,broken clouds
52,Neiafu,TO,-18.65,-173.9833,83.08,69,20,11.5,few clouds
53,Thompson,CA,55.7435,-97.8558,53.98,53,98,10.04,overcast clouds
54,Najran,SA,17.4924,44.1277,75.85,22,25,3.6,scattered clouds
55,Olafsvik,IS,64.8945,-23.7142,44.73,87,84,20.18,broken clouds
56,Ntoum,GA,0.3833,9.7833,75.29,90,100,2.71,light rain
57,Airai,TL,-8.9266,125.4092,66.56,38,77,3.2,broken clouds
58,Bluff,NZ,-46.6,168.3333,44.8,53,79,12.33,broken clouds
59,Khani,GE,41.9563,42.9566,58.57,96,78,1.14,broken clouds
60,Ramshir,IR,30.8946,49.4092,88.61,17,0,9.28,clear sky
61,Busselton,AU,-33.65,115.3333,50.49,73,71,6.6,broken clouds
62,Salalah,OM,17.0151,54.0924,78.89,89,20,0.0,few clouds
63,Vazhiny,RU,60.9644,34.0222,34.88,95,14,3.67,few clouds
64,Presidente Epitacio,BR,-21.7633,-52.1156,78.31,59,57,14.25,broken clouds
65,Nosy Varika,MG,-20.5833,48.5333,67.44,90,13,8.16,few clouds
66,Arcachon,FR,44.5875,-1.0519,59.32,94,20,1.14,few clouds
67,Viedma,AR,-40.8135,-62.9967,61.88,28,63,9.51,broken clouds
68,Chuy,UY,-33.6971,-53.4616,53.82,81,0,6.58,clear sky
69,Mount Gambier,AU,-37.8333,140.7667,60.51,51,81,18.75,light rain
70,Saint-Philippe,RE,-21.3585,55.7679,71.15,83,49,6.31,light rain
71,Lokosovo,RU,61.1333,74.8167,49.75,99,100,7.85,moderate rain
72,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,16.11,scattered clouds
73,Boralday,KZ,43.3578,76.8594,60.66,36,40,2.24,scattered clouds
74,Sayyan,YE,15.1718,44.3244,64.0,30,99,2.42,overcast clouds
75,Cockburn Town,TC,21.4612,-71.1419,84.16,79,40,9.22,scattered clouds
76,Bengkulu,ID,-3.8004,102.2655,74.55,87,17,3.85,few clouds
77,Ahipara,NZ,-35.1667,173.1667,56.82,86,99,13.38,overcast clouds
78,Srednekolymsk,RU,67.45,153.6833,48.49,59,67,6.58,broken clouds
79,Kapaa,US,22.0752,-159.319,84.52,72,40,1.99,light rain
80,Te Anau,NZ,-45.4167,167.7167,39.15,88,70,1.54,broken clouds
81,Tiznit,MA,29.5833,-9.5,65.61,83,69,4.36,broken clouds
82,Dwarka,IN,22.2394,68.9678,81.36,88,90,14.16,overcast clouds
83,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.14,79,80,0.92,light rain
84,Nanortalik,GL,60.1432,-45.2371,38.79,86,100,5.93,overcast clouds
85,Bethel,US,41.3712,-73.414,72.72,85,75,1.01,broken clouds
86,Hilo,US,19.7297,-155.09,84.27,76,90,6.91,overcast clouds
87,Cabo San Lucas,MX,22.8909,-109.9124,88.9,70,20,8.05,few clouds
88,San Patricio,US,28.017,-97.5169,93.29,44,98,4.7,overcast clouds
89,Bredasdorp,ZA,-34.5322,20.0403,50.29,84,6,3.94,clear sky
90,Sioux Lookout,CA,50.1001,-91.917,57.58,94,75,6.91,broken clouds
91,Richards Bay,ZA,-28.783,32.0377,61.99,88,100,11.99,light rain
92,Roald,NO,62.5833,6.1333,55.9,100,75,4.61,broken clouds
93,Skjervoy,NO,70.0311,20.9714,45.59,69,100,12.73,overcast clouds
94,Hermanus,ZA,-34.4187,19.2345,50.81,76,21,7.38,few clouds
